,id,photo
0,id220345366,"https://sun1-96.userapi.com/impf/Swj_U5CB8wboFP3HjRiN6h_kgkkWCq5jL6YNWg/dMbFIxpQuzg.jpg?size=200x0&quality=88&crop=0,321,1104,1104&sign=b6cd9864e8df7a0839d0619619fa0ae3&c_uniq_tag=Pk34jHaca_tttpaFmyQGAzIQPRN3m5uRucSIENOooRk&ava=1"
1,id4858679,"https://sun1-95.userapi.com/impg/gDYuQaczLtGW0nQIw2Cgxo9C-LN3wQrBNxti2Q/YCi2S4Em-9c.jpg?size=200x0&quality=88&crop=923,342,697,697&sign=67899bf8606c69a5839ea4f56a4a5ec0&c_uniq_tag=zBAoCOCnERvFrQrYK7mlb7UN2G72LwKrP38n_-RqGSk&ava=1"
2,id1420471,"https://sun1-99.userapi.com/impf/8t6TWVBMW2yOqP7refYanHkP4t1KbcwydHMvHA/6gojfQHw_jw.jpg?size=200x0&quality=88&crop=81,28,887,887&sign=5963dc1d2cb627ac8c3f4cad7c92a07c&c_uniq_tag=Sdes8i1RJ2Vztpuf6monZzXYrhLk4347TXJCG4TYLuo&ava=1"
3,id3817351,"https://sun1-28.userapi.com/impf/c857428/v857428319/1b6a7/twxzWHvGopw.jpg?size=200x0&quality=88&crop=10,813,1096,1096&sign=eb2e15cb5f05c6f4f309bc2b3129f024&c_uniq_tag=blQlSDEc2UrDthUCEwJSCQhSwG0TxShmS6J_S-77n3k&ava=1"
